#node	node_type	node_symbol
Q9UP38	receptor	FZD1
Q9ULW2	receptor	FZD10
Q14332	receptor	FZD2
Q9NPG1	receptor	FZD3
Q13467	receptor	FZD5
O75084	receptor	FZD7
Q9H461	receptor	FZD8
O00144	receptor	FZD9
Q07954	receptor	LRP1
O75197	receptor	LRP5
O75581	receptor	LRP6
Q01973	receptor	ROR1
Q01974	receptor	ROR2
P34925	receptor	RYK
P25054	tf	APC
Q9P2D1	tf	CHD7
Q13363	tf	CTBP1
P35222	tf	CTNNB1
P98082	tf	DAB2
Q9UJU2	tf	LEF1
Q13469	tf	NFATC2
Q02962	tf	PAX2
P37231	tf	PPARG
Q15797	tf	SMAD1
O00570	tf	SOX1
P15923	tf	TCF3
P15884	tf	TCF4
Q9NQB0	tf	TCF7L2
