#KSP	path_length	path
1	7.50000e-01	O75581|P98082
2	5.62500e-01	O00144|O14640|P25054
3	5.62500e-01	O00144|O14640|P35222
4	5.62500e-01	O00144|O14640|Q15797
5	5.62500e-01	O00144|O14641|P25054
6	5.62500e-01	O00144|Q92997|P98082
7	5.62500e-01	O75084|O14640|P25054
8	5.62500e-01	O75084|O14640|P35222
9	5.62500e-01	O75084|O14640|Q15797
10	5.62500e-01	O75084|O14641|P25054
11	5.62500e-01	O75084|Q92997|P98082
12	5.62500e-01	O75197|O15169|P25054
13	5.62500e-01	O75197|O15169|P35222
14	5.62500e-01	O75197|P19022|P35222
15	5.62500e-01	O75581|O15169|P25054
16	5.62500e-01	O75581|O15169|P35222
17	5.62500e-01	O75581|P49841|P25054
18	5.62500e-01	O75581|P49841|P35222
19	5.62500e-01	O75581|P49841|Q13469
20	5.62500e-01	O75581|P49841|Q15797
21	5.62500e-01	P34925|P13569|P98082
22	5.62500e-01	Q01973|P00533|P35222
23	5.62500e-01	Q01973|P12931|P35222
24	5.62500e-01	Q01973|P12931|P98082
25	5.62500e-01	Q07954|P00533|P35222
26	5.62500e-01	Q13467|O14640|P25054
27	5.62500e-01	Q13467|O14640|P35222
28	5.62500e-01	Q13467|O14640|Q15797
29	5.62500e-01	Q13467|O14641|P25054
30	5.62500e-01	Q13467|Q92997|P98082
31	5.62500e-01	Q14332|O14640|P25054
32	5.62500e-01	Q14332|O14640|P35222
33	5.62500e-01	Q14332|O14640|Q15797
34	5.62500e-01	Q14332|O14641|P25054
35	5.62500e-01	Q14332|Q92997|P98082
36	5.62500e-01	Q9H461|O14640|P25054
37	5.62500e-01	Q9H461|O14640|P35222
38	5.62500e-01	Q9H461|O14640|Q15797
39	5.62500e-01	Q9H461|O14641|P25054
40	5.62500e-01	Q9H461|Q92997|P98082
41	5.62500e-01	Q9NPG1|O14640|P25054
42	5.62500e-01	Q9NPG1|O14640|P35222
43	5.62500e-01	Q9NPG1|O14640|Q15797
44	5.62500e-01	Q9NPG1|O14641|P25054
45	5.62500e-01	Q9NPG1|Q92997|P98082
46	5.62500e-01	Q9ULW2|O14640|P25054
47	5.62500e-01	Q9ULW2|O14640|P35222
48	5.62500e-01	Q9ULW2|O14640|Q15797
49	5.62500e-01	Q9ULW2|O14641|P25054
50	5.62500e-01	Q9ULW2|Q92997|P98082
51	5.62500e-01	Q9UP38|O14640|P25054
52	5.62500e-01	Q9UP38|O14640|P35222
53	5.62500e-01	Q9UP38|O14640|Q15797
54	5.62500e-01	Q9UP38|O14641|P25054
55	5.62500e-01	Q9UP38|Q92997|P98082
56	5.58010e-01	O75581|Q03135|P37231
57	5.33619e-01	Q07954|P98082
58	4.90345e-01	Q01974|Q15038|Q9NQB0
59	4.56520e-01	Q01973|P00533|P37231
60	4.56520e-01	Q07954|P00533|P37231
61	4.21875e-01	O00144|O14640|O15169|P25054
62	4.21875e-01	O00144|O14640|O15169|P35222
63	4.21875e-01	O00144|O14640|P46531|P35222
64	4.21875e-01	O00144|O14640|P49674|P25054
65	4.21875e-01	O00144|O14640|P49841|P25054
66	4.21875e-01	O00144|O14640|P49841|P35222
67	4.21875e-01	O00144|O14640|P49841|Q13469
68	4.21875e-01	O00144|O14640|P49841|Q15797
69	4.21875e-01	O00144|O14640|P67870|P35222
70	4.21875e-01	O00144|O14640|P68400|P25054
71	4.21875e-01	O00144|O14640|P68400|P35222
72	4.21875e-01	O00144|O14640|P68400|Q9UJU2
73	4.21875e-01	O00144|O14640|P84022|P35222
74	4.21875e-01	O00144|O14640|P84022|P98082
75	4.21875e-01	O00144|O14640|P84022|Q15797
76	4.21875e-01	O00144|O14640|P84022|Q9UJU2
77	4.21875e-01	O00144|O14640|Q15796|P35222
78	4.21875e-01	O00144|O14640|O15105|Q15797
79	4.21875e-01	O00144|O14640|O15105|Q9UJU2
80	4.21875e-01	O00144|O14640|Q04721|Q15797
81	4.21875e-01	O00144|O14640|Q15796|P98082
82	4.21875e-01	O00144|O14640|Q15796|Q15797
83	4.21875e-01	O00144|O14640|Q15796|Q9UJU2
84	4.21875e-01	O00144|O14641|P04637|P15884
85	4.21875e-01	O00144|O14641|O15169|P25054
86	4.21875e-01	O00144|O14641|O15169|P35222
87	4.21875e-01	O00144|O14641|P49841|P25054
88	4.21875e-01	O00144|O14641|P05129|P98082
89	4.21875e-01	O00144|O14641|P49841|P35222
90	4.21875e-01	O00144|O14641|P49841|Q13469
91	4.21875e-01	O00144|O14641|P49841|Q15797
92	4.21875e-01	O00144|O14641|Q9NYF0|Q9UJU2
93	4.21875e-01	O00144|Q92997|O15169|P25054
94	4.21875e-01	O00144|Q92997|O15169|P35222
95	4.21875e-01	O00144|Q92997|P49841|P25054
96	4.21875e-01	O00144|Q92997|P49841|P35222
97	4.21875e-01	O00144|Q92997|P49841|Q13469
98	4.21875e-01	O00144|Q92997|P49841|Q15797
99	4.21875e-01	O00144|Q92997|Q96KM6|Q15797
100	4.21875e-01	O75084|O14640|O15169|P25054
