#tail	head	KSP index
O75581	P98082	1
O00144	O14640	2
O14640	P25054	2
O14640	P35222	3
O14640	Q15797	4
O00144	O14641	5
O14641	P25054	5
O00144	Q92997	6
Q92997	P98082	6
O75084	O14640	7
O75084	O14641	10
O75084	Q92997	11
O75197	O15169	12
O15169	P25054	12
O15169	P35222	13
P19022	P35222	14
O75197	P19022	14
O75581	O15169	15
O75581	P49841	17
P49841	P25054	17
P49841	P35222	18
P49841	Q13469	19
P49841	Q15797	20
P13569	P98082	21
P34925	P13569	21
P00533	P35222	22
Q01973	P00533	22
Q01973	P12931	23
P12931	P35222	23
P12931	P98082	24
Q07954	P00533	25
Q13467	O14640	26
Q13467	O14641	29
Q13467	Q92997	30
Q14332	O14640	31
Q14332	O14641	34
Q14332	Q92997	35
Q9H461	O14640	36
Q9H461	O14641	39
Q9H461	Q92997	40
Q9NPG1	O14640	41
Q9NPG1	O14641	44
Q9NPG1	Q92997	45
Q9ULW2	O14640	46
Q9ULW2	O14641	49
Q9ULW2	Q92997	50
Q9UP38	O14640	51
Q9UP38	O14641	54
Q9UP38	Q92997	55
O75581	Q03135	56
Q03135	P37231	56
Q07954	P98082	57
Q01974	Q15038	58
Q15038	Q9NQB0	58
P00533	P37231	59
O14640	O15169	61
P46531	P35222	63
O14640	P46531	63
P49674	P25054	64
O14640	P49674	64
O14640	P49841	65
O14640	P67870	69
P67870	P35222	69
O14640	P68400	70
P68400	P25054	70
P68400	P35222	71
P68400	Q9UJU2	72
O14640	P84022	73
P84022	P35222	73
P84022	P98082	74
P84022	Q15797	75
P84022	Q9UJU2	76
Q15796	P35222	77
O14640	Q15796	77
O14640	O15105	78
O15105	Q15797	78
O15105	Q9UJU2	79
O14640	Q04721	80
Q04721	Q15797	80
Q15796	P98082	81
Q15796	Q15797	82
Q15796	Q9UJU2	83
O14641	P04637	84
P04637	P15884	84
O14641	O15169	85
O14641	P49841	87
P05129	P98082	88
O14641	P05129	88
Q9NYF0	Q9UJU2	92
O14641	Q9NYF0	92
Q92997	O15169	93
Q92997	P49841	95
Q96KM6	Q15797	99
Q92997	Q96KM6	99
